theta_x,theta_y,h_x,h_y,nc_x,nc_y,n_steps,tau_x,tau_y,mean_n,mean_m,S_x,S_y,S_xy,I_try,I
0,0,-0.01,-0.01,3000,3000,27972264579,11.1551423251738,11.1587038205561,2099.30902666738,2099.30902666738,6.23929079356427,6.23927477222828,11.9795602583573,0.499005307435242,0.498943715731594
0,0,-0.01,-0.02,3000,3000,25682543798,7.39415776402645,7.38987114493119,1961.00120419464,1961.00120419464,6.0628743791394,6.06285392640285,11.7380564553569,0.387671850185367,0.384345513615877
0,0,-0.01,-0.03,3000,3000,23957446599,6.00077646875004,5.91685058758967,1854.7885302164,1854.7885302164,5.93651423039266,5.93644669864536,11.5559038734879,0.317057055550109,0.310969739547007
0,0,-0.01,-0.04,3000,3000,22562692129,5.02292586994003,4.99772745369743,1767.74184509822,1767.74184509822,5.84147212650394,5.84139527892287,11.412475896584,0.270391508842824,0.2602960923656
0,0,-0.01,-0.05,3000,3000,21379608789,4.49212738695621,4.5294487839682,1693.43404545146,1693.43404545146,5.76329694518742,5.76318802405572,11.2891278717894,0.237357097453756,0.22129140272048
0,0,-0.01,-0.06,3000,3000,20341915457,3.71379479251378,3.79705453193475,1627.76390120393,1627.76390120393,5.6987938978762,5.69870284954516,11.183889291403,0.213607456018337,0.193357298764198
0,0,-0.01,-0.07,3000,3000,19414742594,3.24595267428936,3.29665454037951,1568.75119006691,1568.75119006691,5.63803562097279,5.63779527660255,11.0823042050214,0.193526692553895,0.167024068673916
0,0,-0.01,-0.08,3000,3000,18577304394,3.02776465935793,3.07245156592473,1515.27013991943,1515.27013991943,5.58852841769022,5.58829163273404,10.9956707160193,0.181149334404958,0.148745187333793
0,0,-0.01,-0.09,3000,3000,17810968165,2.85636182787265,2.84830592068034,1466.11101425048,1466.11101425048,5.54316319784714,5.542015140078,10.9145056100667,0.170672727858406,0.132393322680182
0,0,-0.01,-0.1,3000,3000,17102484069,2.55173278176881,2.48968642075583,1420.58844449606,1420.58844449606,5.50190154264615,5.49485148016028,10.8386768054853,0.158076217321147,0.118581573719645
