theta_x,theta_y,h_x,h_y,nc_x,nc_y,n_steps,tau_x,tau_y,mean_n,mean_m,S_x,S_y,S_xy,I_try,I
-0.02,-0.02,0.15,0.15,3000,3000,112087301039,1.28442585317227,1.23143080531649,5377.2402028889,5377.2402028889,6.16509278170893,6.16508876226702,12.2561532535916,0.0740282903843621,0.0737201731473789
-0.02,-0.02,0.16,0.16,3000,3000,113952702382,1.13965398689629,1.20059094767589,5425.64002900264,5425.64002900264,6.15587634770485,6.1558593360801,12.2441091360967,0.0676265476882847,0.0682330695902031
-0.02,-0.02,0.17,0.17,3000,3000,115755942840,1.16842872452571,1.2169802298023,5471.94601026488,5471.94601026488,6.15014138372723,6.1501193046879,12.2366146815658,0.0636460068492894,0.0642834441801945
-0.02,-0.02,0.18,0.18,3000,3000,117529023365,1.0597162729131,1.07622783380961,5516.85940444197,5516.85940444197,6.14470650294725,6.14468986708812,12.2298444638224,0.0595519062129863,0.0603163598951415
-0.02,-0.02,0.19,0.19,3000,3000,119249358647,1.02965304414292,1.06131531839454,5559.8763759517,5559.8763759517,6.13801862443568,6.13799634815186,12.2201572392495,0.055857733338053,0.0564728415800246
-0.02,-0.02,0.1,0.1,3000,3000,101752772273,1.57872903823847,1.56895894974295,5097.94888925962,5097.94888925962,6.2136613862451,6.21364836321648,12.3179908488253,0.109318900636245,0.109441533362848
-0.02,-0.02,0.21,0.21,3000,3000,122567579695,0.964594826221604,0.941915053507503,5641.75957475391,5641.75957475391,6.12834551676217,6.12833764897316,12.2052093942904,0.0514737714448898,0.0502620626087928
-0.02,-0.02,0.22,0.22,3000,3000,124185903700,0.999538580417257,0.956046643200653,5681.05523208862,5681.05523208862,6.12292887045998,6.12291818582546,12.1992636863097,0.0465833699756946,0.0473551799144598
-0.02,-0.02,0.23,0.23,3000,3000,125766009392,0.856866961685707,0.897843303872324,5719.07048751458,5719.07048751458,6.11849871110589,6.1184925198617,12.1927085918135,0.0442826391540443,0.0447168958139645
-0.02,-0.02,0.24,0.24,3000,3000,127309015345,0.887027847362829,0.892375563347993,5755.89556148583,5755.89556148583,6.11497825647896,6.11495768802579,12.1877817292008,0.0421542153039312,0.0425857986659359
-0.02,-0.02,0.25,0.25,3000,3000,128835320407,0.838271032549139,0.876108657187081,5791.93498033595,5791.93498033595,6.11131788231747,6.11130305090194,12.1822058186964,0.0404151145230145,0.0402616114825811
-0.02,-0.02,0.26,0.26,3000,3000,130331216262,0.786827913791067,0.828805598296303,5826.85912930553,5826.85912930553,6.10702591062,6.10701033602111,12.176308951071,0.0377272955701482,0.0381955065051649
-0.02,-0.02,0.27,0.27,3000,3000,131796997309,0.786274308833715,0.801945037574218,5860.96284834372,5860.96284834372,6.10333769486492,6.1033237654878,12.1706548420803,0.0360066182724044,0.0362161365591387
-0.02,-0.02,0.28,0.28,3000,3000,133246588763,0.814472959137033,0.805132985042751,5894.31272970711,5894.31272970711,6.10007078088491,6.10005721939269,12.1652639720802,0.0348640281974131,0.0343969017405357
-0.02,-0.02,0.29,0.29,3000,3000,134674256572,0.742930715515194,0.764704762686506,5926.91668913851,5926.91668913851,6.09753976369796,6.09752622589174,12.161902283589,0.0331637060007317,0.0330338380546102
-0.02,-0.02,0.2,0.2,3000,3000,120935035512,0.977872417144737,1.0089643833267,5601.77440952769,5601.77440952769,6.13256308974305,6.13253625982741,12.212256670338,0.0528426792324392,0.052997431980307
