theta_x,theta_y,h_x,h_y,nc_x,nc_y,n_steps,tau_x,tau_y,mean_n,mean_m,S_x,S_y,S_xy,I_try,I
-0.000141597,-0.0753284,-0.0244063,-0.0561818,3000,3000,15747667111,2.73516693635542,2.87260020442154,1338.50006233713,1338.50006233713,5.45776570729724,5.45696490811593,10.7741101903406,0.140620425072621,0.118766737254507
-0.000253714,0.0531211,-0.0249297,0.0336864,3000,3000,52876982648,20.7321527195524,20.5027195516039,3339.24580033129,3339.24580033129,6.89693454630611,6.89684967902594,12.9455719669873,0.848212258344761,0.823203561058159
-0.000335917,0.0551151,-0.0426928,-0.0840684,3000,3000,18259270986,2.57064746914201,2.52296223106151,1431.23462223047,1431.23462223047,5.5151984652836,5.51514431514955,10.8928039224788,0.137538857954352,0.119228084185307
-0.000352732,0.0858173,0.0196966,0.0271272,3000,3000,66851957168,6.42086294535205,6.18942270530116,3952.49329385757,3952.49329385757,6.51638813001574,6.51636562166529,12.5984136835767,0.434340068104357,0.403427709500649
-0.0003697,0.0659002,0.0618396,0.0285386,3000,3000,78008672939,3.69029579233403,3.66353367799259,4397.62483460701,4397.62483460701,6.3691735932528,6.36910334683244,12.468400168929,0.269876771156211,0.252490377739671
-0.000383126,-0.0263852,0.00224277,0.00513223,3000,3000,61957495839,18.1761146683003,18.1965045012674,3803.64804672777,3803.64804672777,6.86388414971272,6.86385962757532,12.9892870929,0.738456684388073,0.748977439050121
-0.000406921,-0.00719909,0.00735736,0.0163628,3000,3000,67338658307,8.17967523849563,8.16932777983232,4004.64267847182,4004.64267847182,6.61155573663327,6.61154217835894,12.7352107470906,0.487887167901601,0.490116342337529
-0.000430276,0.0695008,-0.0709433,-0.0120018,3000,3000,22521345394,3.61036337416289,3.54696478199863,1649.84626189926,1649.84626189926,5.7341659720419,5.73257519432718,11.2825583469653,0.184182819403773,0.200402373853175
-0.000447514,-0.05118,-0.0645912,0.0707887,3000,3000,65593894847,12.9465301527659,12.8875525689122,3860.8878680302,3860.8878680302,6.75256603377706,6.75210659825415,12.8888298743017,0.615842757729524,0.624749950345446
-0.000453878,-0.0626819,0.0560306,0.0191109,3000,3000,84338825318,2.95454504272435,3.08139953053572,4644.58431460467,4644.58431460467,6.33992846543757,6.33990843340441,12.476958413857,0.20287848498498,0.221380266937926
-0.0004556,0.0415688,0.0330142,0.0417537,3000,3000,76552544702,3.92532978807163,3.85609468642808,4325.82750223869,4325.82750223869,6.39943473554409,6.39941265887715,12.5054850103406,0.293362384080678,0.27938556011148
-0.000470601,-0.0853877,0.0126209,-0.0660078,3000,3000,17314702468,3.42618298339525,3.68949270928176,1492.5163349525,1492.5163349525,5.58622483032673,5.57327598968044,10.972977142644,0.186523677363128,0.161678945555202
-0.000498764,0.0522147,0.0310251,0.00743062,3000,3000,66946697393,6.97227060841949,6.98561494408201,3990.68568108403,3990.68568108403,6.54783118897241,6.54778947603303,12.6447486955392,0.450871969466267,0.432665984721632
