theta_x,theta_y,h_x,h_y,nc_x,nc_y,n_steps,tau_x,tau_y,mean_n,mean_m,S_x,S_y,S_xy,I_try,I
-0.01,-0.16,0,0,3000,3000,5656672960,2.13806842029499,2.29137406715438,1562.07492762183,1562.07492762183,5.38639977950693+0i,5.38321054207618,10.6839265622719+0i,0.0856837593112019+0i,0.0840124479926949
-0.01,-0.17,0,0,3000,3000,5446472613,2.28751054155514,2.51068813034056,1518.02011459635,1518.02011459635,5.35073247649523+0i,5.34713723244447,10.6168688346553+0i,0.0810008742844293+0i,0.0738081428349684
-0.01,-0.18,0,0,3000,3000,5241114214,2.96979079156877,3.35156673519352,1475.00422969039,1475.00422969039,5.31614100047189+0i,5.30245664167172,10.5521512765533+0i,0.0664463655903553+0i,0.064539448266153
-0.01,-0.19,0,0,3000,3000,5039452055,3.00049347056209,3.48489088928849,1432.32693842766,1432.32693842766,5.2817330506509+0i,5.2640159278603,10.4852190881266+0i,0.0605298903845863+0i,0.0562687587843325
-0.01,-0.1,0,0,3000,3000,7046678955,3.78673253098406,4.14316344008931,1850.93501145431,1850.93501145431,5.65433766918306+0i,5.65421439156902,11.1312489332993+0i,0.177303127452758+0i,0.191195300754837
-0.01,-0.21,0,0,3000,3000,19556268679,2.52492045477415,2.74610099681044,5284.52169507463,5284.52169507463,6.00335184646926+0i,5.99984972384614,11.9613433354866+0i,0.041858234828819+0i,0.0887176972396713
-0.01,-0.22,0,0,3000,3000,4455914479,2.94947275962121,3.54975469210512,1308.00051539721,1308.00051539721,5.18425658255306+0i,5.11288312603483,10.28820444873+0i,0.0089352598579282+0i,0.0357784397627121
-0.01,-0.23,0,0,3000,3000,19964616686,2.31450255988043,2.66404502445761,5443.49016619278,5443.49016619278,5.98974330896298+0i,5.94962933308595,11.9502210781972+0i,-0.0108484361482333+0i,0.0748422416591694
-0.01,-0.24,0,0,3000,3000,4081061705,2.50538782361221,3.09189008236318,1226.74686147416,1226.74686147416,5.12665307124941+0i,4.7417862971731,10.1633498353285+0i,-0.294910466905989+0i,0.0269671254439316
-0.01,-0.25,0,0,3000,3000,20374905341,1.94684257173539,2.18420437588685,5605.97147066797,5605.97147066797,5.97896020825623+0i,5.91779955690278,11.9424086302771+0i,-0.0456488651181228+0i,0.0626460108979874
-0.01,-0.26,0,0,3000,3000,20585587855,1.91438185737407,2.12988271644908,5689.78431329591,5689.78431329591,5.97415959339738+0i,5.89379131054325,11.9401994615235+0i,-0.0722485575828884+0i,0.0581049866941683
-0.01,-0.27,0,0,3000,3000,20795464335,1.96592499515832,2.11452104980394,5774.60016485481,5774.60016485481,5.9706255751801+0i,5.87183631934232,11.9377132091803+0i,-0.095251314657844+0i,0.0523533737653423
-0.01,-0.28,0,0,3000,3000,3966397621,1.33014365452953,1.52863614489271,1240.94280841959,1240.94280841959,5.05252502772751+0i,4.30898461575549,9.89332834215984+0i,-0.531818698676839+0i,0.000667093552644715
-0.01,-0.29,0,0,3000,3000,4112076019,1.32466212728768,1.49668528222155,1294.31798298793,1294.31798298793,5.07694896860238+0i,4.39122569981544,9.93269482266518+0i,-0.464520154247356+0i,0.000497898653831541
-0.01,-0.2,0,0,3000,3000,19350522072,2.53949904011586,2.77255225007835,5205.85512509524,5205.85512509524,6.01245579780348+0i,6.00973293921455,11.9699128178303+0i,0.0522759191877142+0i,0.0970052321852641
-0.01,-0.3,0,0,3000,3000,4262650338,1.76278253156285,2.2548428431711,1349.17685661234,1349.17685661234,5.10110472098852+0i,4.521046977882,9.97106099902383+0i,-0.348909300153316+0i,0.000500470856700019
-0.01,0.01,0,0,3000,3000,12242327988,75.2091908765055,75.166750352959,3000.47221650266,3000.47221650266,7.14508421660006+0i,7.14506033080422,13.0026401938408+0i,1.28750435356352+0i,1.27811937115196
-0.01,0.02,0,0,3000,3000,12310343821,50.136994743066,50.0593843025865,3002.4619951773,3002.4619951773,6.99439809434706+0i,6.99437279433215,12.8494781155911+0i,1.13929277308815+0i,1.12550930940397
-0.01,0.03,0,0,3000,3000,12363694777,36.9092266780589,36.5793269904822,2999.13179253125,2999.13179253125,6.87053217661365+0i,6.87051150081039,12.7204241908973+0i,1.02061948652672+0i,1.00273081989226
-0.01,0.04,0,0,3000,3000,12417635653,24.9184800281855,24.8951611584874,2999.66591442088,2999.66591442088,6.76456110929528+0i,6.76451357482821,12.6072426204168+0i,0.921832063706699+0i,0.898698446240923
-0.01,0.05,0,0,3000,3000,12501761373,22.2869525448863,22.0618159881175,3002.58253021961,3002.58253021961,6.67270546332347+0i,6.67266550220939,12.5096452380995+0i,0.835725727433342+0i,0.808603997403216
-0.01,0.06,0,0,3000,3000,12559082905,16.1479295558711,15.9627544811042,3001.39727362535,3001.39727362535,6.59184121854915+0i,6.59178954441949,12.4220836152396+0i,0.761547147729038+0i,0.731283841302471
-0.01,0.07,0,0,3000,3000,12613613531,14.0827556355393,14.0063616726386,3001.11885345786,3001.11885345786,6.5302773281143+0i,6.53023401653237,12.3539363297779+0i,0.706575014868752+0i,0.671830615890071
-0.01,0.08,0,0,3000,3000,12679174253,12.6281857510643,12.3625736428223,3001.15771732665,3001.15771732665,6.47106163007374+0i,6.47101687259647,12.2886280865251+0i,0.653450416145091+0i,0.616034541595345
-0.01,0.09,0,0,3000,3000,12729223648,10.6471833389899,10.4420689695401,2999.26622709941,2999.26622709941,6.43002793042128+0i,6.42996131158227,12.2417903000957+0i,0.618198941907826+0i,0.576719419073951
-0.01,0.11,0,0,3000,3000,12853260354,7.72725312364925,7.57321403051935,2998.60690983336,2998.60690983336,6.3466489843672+0i,6.34657537976548,12.1457458339086+0i,0.547478530224113+0i,0.500859882323457
-0.01,0.12,0,0,3000,3000,12912487075,7.5117265789748,7.30819050232871,2998.53548814206,2998.53548814206,6.3117546413745+0i,6.31170358075288,12.10565250651+0i,0.517805715617376+0i,0.467854852651996
-0.01,0.13,0,0,3000,3000,12981635894,7.50215193342587,7.31587882535835,3000.21612530506,3000.21612530506,6.28548225981234+0i,6.28540749607723,12.0741748350583+0i,0.496714920831273+0i,0.443410789949404
