g,theta,h,nc,tmax,Sn,Sm,Snm,IShannon,Rn,Rm,Rnm,IRenyi2,Rn3,Rm3,Rnm3,IRenyi3,Rn4,Rm4,Rnm4,IRenyi4
1,-0.0025,0,10000,100000,8.34749131167602,8.34712611065402,14.983551610496,1.71106581183403,8.25896586427176,8.25883777862015,14.7544535932355,1.76335004965644,8.20645482101916,8.20635154478251,14.6369826387381,1.77582372706354,8.16835847540242,8.16826231079975,14.5598563165487,1.7767644696535
1,-0.005,0,10000,100000,8.42232792069189,8.42194891327677,15.0597005065653,1.78457632740337,8.33377667665213,8.33363152171193,14.8338918985475,1.83351629981652,8.27450527303323,8.27437771727411,14.7129973311686,1.83588565913869,8.2278407727987,8.22771365764765,14.630035843274,1.82551858717238
1,-0.0075,0,10000,100000,8.4826935185989,8.48237719652833,15.1191756793487,1.84589503577853,8.38745153084654,8.38732247229875,14.8887749396046,1.88599906354071,8.31778083860016,8.31765319269515,14.7602451936974,1.87518883759788,8.26151914701944,8.26138340870587,14.6700180780757,1.8528844776496
1,-0.01,0,10000,100000,8.51544232401025,8.51518043679614,15.1476579641429,1.88296479666354,8.39994746164969,8.39983542451283,14.8956642299762,1.90411865618627,8.31612372670532,8.31602052454454,14.7531884548065,1.87895579644334,8.25223428733849,8.2521315056186,14.6563660621467,1.84799973081036
1,-0.02,0,10000,100000,8.2438099227585,8.24348711331434,14.8874987595398,1.59979827653304,7.99455752083336,7.99437490235288,14.5171842907548,1.47174813243142,7.87330900230705,7.87314728129317,14.3434083689007,1.40304791469954,7.79883867438358,7.79868224096439,14.2374543013461,1.36006661400187
1,-0.03,0,10000,100000,7.50801981240644,7.50769032589532,14.243831209055,0.771878929246775,7.34351311727776,7.3433829074813,13.9286063938099,0.75828963094912,7.26925679140509,7.26915472787456,13.782433945696,0.755977573583616,7.22491040909553,7.22481927028723,13.6943008917355,0.755428787647217
1,-0.04,0,10000,100000,6.86340218581431,6.86280522757931,13.1757593822289,0.550448031164731,6.70105853372925,6.70088550617335,12.8600911920588,0.541852847843844,6.62733226964427,6.62720135031271,12.7142901855549,0.540243434402056,6.58308171112202,6.58296543456952,12.6265326173039,0.539514528387654
1,-0.06,0,10000,100000,6.58353227160366,6.58279836117452,12.787553266109,0.378777366669143,6.42486245803642,6.4246743868744,12.4761691338642,0.373367711046621,6.3517891545165,6.35164294065117,12.3311752573774,0.37225683779025,6.3076909528984,6.30755868345473,12.2435744242243,0.37167521212886
1,-0.08,0,10000,100000,6.37393260365725,6.37296957776727,12.4754825825173,0.271419598907192,6.21692158413194,6.21670700507962,12.1665881333674,0.267040455844178,6.14435523684352,6.14419081317497,12.0218324302981,0.266713619720376,6.10031643796592,6.10016914348284,11.9338455530122,0.266640028436584
1,-0.1,0,10000,100000,6.2031981341639,6.20204078365032,12.2059034386861,0.199335479128171,6.04673174716262,6.04644808879509,11.8974957851145,0.195684050843255,5.97483101681148,5.97461321711135,11.7540624371133,0.195381796809558,5.93141896769421,5.93122314125468,11.6672766690298,0.195365439919048
1,-0.12,0,10000,100000,6.05418441412396,6.05335786180144,11.9597852829638,0.147756992961607,5.89903351311603,5.89884952555248,11.6527875651899,0.145095473478564,5.82734693851541,5.82720447848924,11.5090711457091,0.14548027129554,5.78392696931173,5.78379903681232,11.4217594180655,0.145966588058588
1,-0.14,0,10000,100000,5.91430747801276,5.91336352904814,11.7201015188586,0.107569488202344,5.75901331317368,5.75880965644843,11.4130031053633,0.104819864258779,5.68712182685073,5.68696618387623,11.269059388765,0.105028621961957,5.64350415788828,5.64336498072913,11.1815320380126,0.105337100604771
1,0.0025,0,10000,100000,8.19555407359501,8.19517728202052,14.8260845338803,1.56464682173519,8.09768759520954,8.09753196475418,14.5823031557414,1.61291640422233,8.04737687247538,8.04725033532541,14.4628565641726,1.63177064362822,8.0147142457901,8.01459717109879,14.3880206983841,1.64129071850483
1,0.005,0,10000,100000,8.11594825062833,8.115490467299,14.7438431869922,1.48759553093511,8.0099880734665,8.00978290434332,14.4905593647424,1.52921161306746,7.95672926446273,7.95655546245849,14.3672103909725,1.54607433594876,7.92305087596637,7.92288748517264,14.2906733111511,1.55526504998789
1,0.0075,0,10000,100000,8.0411109512529,8.0406376978705,14.6660956569162,1.41565299220719,7.92721504713599,7.92700938444149,14.4037707755124,1.45045365606511,7.87074683071258,7.87057514479354,14.2766284090392,1.46469356646693,7.83547595576374,7.83531625845926,14.198245039174,1.47254717504902
1,0.01,0,10000,100000,7.97043941139889,7.97002483691286,14.5928946082555,1.34756964005629,7.84971183874467,7.84956331207311,14.3228167351158,1.37645841570203,7.7906257344424,7.79051237473675,14.1926960264098,1.38844208276938,7.75400407608179,7.7539043291758,14.1127910306578,1.39511737459981
1,0.02,0,10000,100000,7.73869505804044,7.73843920576414,14.3527515160464,1.12438274775815,7.60048538800767,7.60039949507549,14.0635848758848,1.13730000719834,7.53383598914393,7.53376875042488,13.9252334170048,1.142371322564,7.49289386113907,7.49283167421784,13.8407442846363,1.14498125072061
