g,theta,h,nc,tmax,tau_n,tau_m,Sn,Sm,Snm,IShannon,Rn,Rm,Rnm,IRenyi2,Rn3,Rm3,Rnm3,IRenyi3,Rn4,Rm4,Rnm4,IRenyi4
1,-0.005,0,1000,20000000,45.8967718907334,45.8968787741325,6.61268241339461,6.61268080416632,12.0975411962092,1.12782202135177,6.52765980688654,6.52765929880012,11.8711672427778,1.18415186290884,6.48443292303374,6.484432518264,11.7643147448231,1.20455069647465,6.45606901380257,6.45606865269533,11.6987755944325,1.21336207206539
1,-0.015,0,1000,20000000,65.2142225467544,65.2142168646204,6.70939405880278,6.7093931031417,12.1967744054713,1.22201275647316,6.62944578656464,6.62944544528574,11.9803515846647,1.27853964718569,6.58282417765925,6.58282386112728,11.8752929481888,1.29035509059773,6.54836200724986,6.54836169742651,11.8083622297695,1.28836147490689
1,-0.01,0,1000,20000000,54.1795458389079,54.1797077444905,6.66220890488247,6.66220714576198,12.1488660645495,1.17554998609497,6.581149761547,6.58114930697016,11.9289116078539,1.23338746066322,6.53764286815045,6.53764252052628,11.8242631976498,1.25102219102695,6.50750980568956,6.507509496165,11.7592101422489,1.25580915960566
1,-0.025,0,1000,20000000,109.175326616472,109.175324989841,6.78708122665809,6.78708049490757,12.269095002452,1.30506671911366,6.69805598656958,6.69805580169096,12.0445900591124,1.35152172914817,6.6375863151101,6.63758614715705,11.9284565745013,1.34671588776585,6.59013826023225,6.59013808467176,11.8515542217025,1.32872212320148
1,-0.02,0,1000,20000000,82.4425210427207,82.4425956351158,6.75180725986685,6.75180573898749,12.2379385570809,1.26567444177347,6.66941158000347,6.66941113170579,12.0206489386962,1.31817377301309,6.61681275453591,6.6168123691865,11.911851965505,1.32177315821738,6.57597444872516,6.57597407595872,11.8406527440418,1.31129578064212
1,-0.035,0,1000,20000000,243.946472447848,243.946730189411,6.82031573666413,6.82031469391676,12.2800918780078,1.36053855257311,6.70562771563517,6.70562732489949,12.0122083041136,1.39904673642103,6.63228011162798,6.63227977609871,11.8674565979151,1.39710328981159,6.58095405308998,6.58095375669799,11.7732310007509,1.38867680903708
1,-0.03,0,1000,20000000,156.644288349845,156.644079350855,6.81138102051489,6.81137883333225,12.2853566578949,1.33740319595226,6.71138632872325,6.7113856504305,12.0450942165688,1.37767776258491,6.64315717081036,6.64315659616396,11.9177274956822,1.36858627129211,6.59142729479943,6.59142674328501,11.834188276419,1.34866576166544
1,-0.045,0,1000,20000000,714.075299402338,714.075356378072,6.75700587297267,6.75700538051247,12.1556192803315,1.35839197315364,6.58142041960249,6.58142024566689,11.7592810610115,1.40355960425788,6.48111882209311,6.48111868262814,11.5285349576662,1.43370254705501,6.41499679002574,6.41499667238726,11.374891020782,1.45510244163103
1,-0.04,0,1000,20000000,405.208006919319,405.208643338307,6.80673582232246,6.80673476610557,12.2425676464074,1.37090294202066,6.67065384285617,6.6706532536486,11.9269339212514,1.41437317525335,6.59154343067327,6.59154291740684,11.7497345237245,1.43335182435565,6.54097347443895,6.54097299983192,11.6308465321161,1.45109994215479
1,-0.055,0,1000,20000000,2110.84949378348,2110.85644164349,6.4820740043957,6.48207171756815,11.7620743473361,1.20207137462773,6.15023094776435,6.15022979741585,11.1484620819556,1.15199866322463,5.97511534674606,5.97511439726909,10.8572457089695,1.09298403504561,5.8730129677589,5.87301210101854,10.6989776248432,1.04704744393422
1,-0.05,0,1000,20000000,1250.75242321141,1250.75166164002,6.65710169906087,6.65710105514667,12.0053940917346,1.30880866247296,6.41503586266357,6.41503557101547,11.5013203690128,1.32875106466626,6.27390193317102,6.27390163161016,11.2218833095983,1.3259202551829,6.1803857407102,6.18038542910112,11.0525756065939,1.30819556321738
1,-0.065,0,1000,20000000,4539.05582333301,4539.03223957788,5.96570084175499,5.96569911653906,11.0963198475119,0.835080110782183,5.57758263517525,5.57758197357204,10.4729762468321,0.682188361915152,5.43672246825359,5.43672196098218,10.2512161975548,0.622228231680978,5.36539695724274,5.36539650978571,10.1341187580454,0.596674708983006
1,-0.06,0,1000,20000000,3234.77507736555,3234.79068591907,6.2338934415339,6.23389180598135,11.4358669114991,1.03191833601614,5.84059306643374,5.84059213349161,10.7760963278128,0.905088872112511,5.67140902802704,5.67140821453578,10.5146812364749,0.82813600608789,5.58341178482404,5.58341102301436,10.3789024152502,0.787920392588161
1,-0.075,0,1000,20000000,4051.29830772,4051.28478868403,5.5120050353722,5.51200121838216,10.5320026853936,0.492003568360724,5.23666673499261,5.23666552269439,10.072982581219,0.400349676468025,5.14289426622945,5.14289331679736,9.90402509012921,0.381762492897598,5.09105548221982,5.09105462202263,9.80713805668187,0.374972047560586
1,-0.07,0,1000,20000000,4844.94197780026,4844.92100027318,5.70587011725812,5.7058676014111,10.7734575038098,0.638280214859408,5.37118986318736,5.3711888068089,10.2351092428624,0.507269427133833,5.2595472577782,5.25954643690523,10.0469648660268,0.472128828656583,5.20091870849993,5.2009179701036,9.94308689005755,0.458749788545973
1,-0.085,0,1000,20000000,677.166094793145,677.179169822258,5.24623651747455,5.24623155555676,10.1932201692707,0.299247903760607,5.06521735731456,5.06521629861136,9.84905248840497,0.28138116752095,4.98844709586705,4.98844631367318,9.69789597009106,0.278997439449169,4.9427008556937,4.94270017301719,9.60732999028335,0.278071038427553
